comment,label,df
මේ වේසිට නීතිය ක්‍රියාත්මක වෙන්නෙ කවදාද ?,1,A
තූ ෙනදකින්,1,A
අම්මා ලුසීඩා කියුවම මට හිතෙන්නම ෆලූඩා කියලා. හිකිස්. ඔව් ඔව් තරුණ වයසේ ගෑණු ළමයි විවිඪ රට වලින් ආශ්‍රය කලාට කමක් නෑ. ලෙඩක් කාරියේ හදා ගත්තම තේරෙයි අප්පගේ ආදර බර පුතාට​.,0,A
දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව..…,0,A
පූදින්ෙන නැතුව ඉදිං,1,A
ඇමති පඩිය ඇතිද කියල අහුවම මේකි කියන්නේ වාහන් දෙකයි එයාට තියෙන්නේ කියලා. එතකොට අප්පටයි,1,A
මා හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ.. ඒකාබද්ධ විපක්ෂය වැනි වි…,0,A
උඹ එක්ක එකඟවෙන්න පුලුවන් කථාවක් තමයි අද බොලා කියලා තියෙන්නෙ...මුන්ගෙ සනුහරේම උපන් ගෙයි මරිමෝඩ හැත්තක්...මූ නීති විභාගයෙන් ලංකාවෙන්ම වැඩිම ලකුණු අරගෙන වාර්තා පිහිටුවාලු සමත් උනේ ඒත් උන්ගෙ හිතවතුන්ගෙ සියලුම නඩු වලට නීතිඥයො හොයාගෙන එන්නෙ පිටින්. ලොකු උන් වගේම පොඩි උනුත් කම්බා හොරු...මේ වසල පවුලේ සුබ සිද්දියට කාබාසිනියා කරපු මුදල් ලංකාවෙ සාවර්ධනයට යොදාගත්තා නම් ලංකාව මීට වඩා ගොඩාක් වෙනස් තැනක අද තියෙන්නෙ..තූ නෙදකින්,1,A
කොළඹ යුගයේදී කියලා වෙන්න ඇති මගේ හිතේ කියන්න ඇත්තේ.... හිකිස්... ඒ පවුල හරි දැන උගත් පවුලක්නේ මචෝ,0,A
කිමද මේ තරම් කොහේදෝ ඇති විදපු ගලක් හා උරන මා මිතුරු පරය?,0,A
අපි බෞද්ධයෝ විදිහට ස්භාව දහමටත් මනුෂ්‍යත්වයටත් ආදරේ නිසා,0,A
එකට බුදියගෙන ළමයි හැදුවට පස්සෙ මොන මගුලද බං..මූට ගිහින් තියෙන්නෙ රෙජිස්ටර් කරන වියදම විතරයි,0,A
ගොසිප්පෝ මේවගේ අවයව වෙන්වීමකදී ගතයුතු ක්‍රියාමාර්ග හරියට දැම්මනම් මේකත් එක්ක වටිනවා නේද​? අයිස්වල දාගෙන එන්න කියුවට,0,A
එහෙම කොහොමද උනේ 😂😂 පරය අපිව අයින් කරල නේ 😂,0,A
ඉතිං අපිට අඩන්නද බොල කියන්නෙ...මූ හෙන මෝඩ චූන් එකක්..,0,A
මේක පාවිච්චි කරපන් නැත්නම්,0,A
විමලයා ගොනෙක් වගෙ එකෙ මෑරෙන්න හදනවා.... පරය. රටට වෑඩක් කරපන් යකො. හොරා....,1,A
හතුරා එක්ක බුදියගෙන වගේ දැන් දැන් මෙන්ඩිස් ක්‍රිකට් ගහන්නෙ...පිට්ටනිය මැද්දට ගියාම හතුරගෙන් වෙන් වෙලා කියලා කොල්ලට හිතෙන හින්දම ඉක්මනට අවුට් වෙලා ආයෙමත් හතුරට ලං වෙනවා...සරලයි...,0,A
මේකත් හොඳා,0,A
ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම. ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්,1,A
කොහෙද බං මේකෙ අඩෝ කියලා කෑල්ලක් තියෙන්නෙ...,0,A
ඩිලා එක පාරක් බුදුදහම ගැන කියලා තිබ්බා. ඌ බුදුදහම ගැන පැහැදිලා ඉන්නේ. ආයෙත් පල්ලි බදා ගන්න එකක් නෑ. හැබැයි කියන විදිහට දේශපාලනයටනම් එයි වගේ. එහෙම වුනොත් නම් ඩිලා අතීතයේ කල හොඳ වනසා ගැනීමක් වෙයි.,0,A
ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම. ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්,0,A
මුගෙන්ම ඉල්ලගත්ත චීන කටුවක්...මුගෙ අහවල් එකට ගැහුවා නම් ඔය අසනීපෙ නිට්ටාවට සුව වෙයි...,1,A
තමන්ගේ නම්බුව රැකගෙන නවකයන්ට තැන දෙන එක ගැන සතුටුයි. අනික් කාරණය ටෙස්ට් තරඟවලට ඩිල්ශාන්ගේ පිතිකරන විලාසය ගැලපෙනවාද සහ ඔහු ඉවත්වීම තුලින් කණ්ඩායමට විශාල බලපෑමක් සිදුවෙනවාද යන්න​. කෙසේ වෙතත් ඩිල්ශාන් වැනි ක්‍රීඩකයෙක් නොමැතිනම් ශ්‍රී ලංකා කණ්ඩායම මේ දිනවල මොන තත්වෙක සිටීදැයි සිතාගත නොහැක​. කෙසේ නමුත් නිසිකලදී නෝන්ඩි නොවී ඉවත්වීම අගය කරමි. ප්‍රශ්ණය ඔහුගේ ටෙස්ට් පිටියෙන් සමුගැනීම වෙනුවෙන් බිරිඳ අඬා වැලපෙන්නේ මන්ද යන්නයි. (බිරියක් සැමියා නිවසේ රැඳෙනවාට කැමතිය​,0,A
ඇයි මං තම්බි වගේද පෙන්නෙ😏 මං බ්‍රහස්පතින්දා ගෙදර එන්නෙ..එතකොට සිකුරාදට හොද අඩව්වක් අල්ලන්න තිබ්බා ආවනම්😅,0,A
ලාච්චුව ඇරලා දෙපාරක් වහමු...මුත්තගෙ අසනීපෙ නිට්ටාවට සනීපයි.,1,A
ඊයා බන්. ඕකේ මොකක්ද බන් තියෙන ආතල් එක​?,0,A
ඉටිම් බං උතුර ඉල්ලනසෙට් එකයි නැගෙනහිරපඉල්ලන තම්බි සෙට් එකයි අයිං කොරපා බැලුවොත් බං රනිල් පරාදයි නෙහ්,1,A
ජන්දෙ දිනාගන්නකං ඔහොම යයි...ඊට පස්සෙ මුනුත් ඉතින් පරණ පීල්ලටම තමයි වැටෙන්නෙ...අපි නොදන්න මොණරතැන්න...,0,A
ආප්ප සීන් එකනම් එක්කො කියන්න පුළුවන් උන් උන්ගේ සංවේදී තැන් දන්න හින්දා ඇබ්බැහි වෙනවා කියලා. ඒත් පිරිමි??? මටනම් අප්‍රසන්නේ බෑ බන්. මේ රට දවසින් දවස පිරිහෙනවා. ෂික් විතරක්.,0,A
